#p (bar)	T (K)
1.000e-08	8.000e+02
2.154e-08	8.000e+02
4.642e-08	8.000e+02
1.000e-07	8.000e+02
2.154e-07	8.000e+02
4.642e-07	8.000e+02
1.000e-06	8.000e+02
2.154e-06	8.000e+02
4.642e-06	8.000e+02
1.000e-05	8.000e+02
2.154e-05	8.000e+02
4.642e-05	8.000e+02
1.000e-04	8.000e+02
2.154e-04	8.000e+02
4.642e-04	8.000e+02
1.000e-03	8.000e+02
2.154e-03	8.000e+02
4.642e-03	8.000e+02
1.000e-02	8.000e+02
2.154e-02	8.000e+02
4.642e-02	8.000e+02
1.000e-01	8.000e+02
2.154e-01	8.000e+02
4.642e-01	8.000e+02
1.000e+00	8.000e+02
2.154e+00	8.000e+02
4.642e+00	8.000e+02
1.000e+01	8.000e+02
2.154e+01	8.000e+02
4.642e+01	8.000e+02
1.000e+02	8.000e+02
2.154e+02	8.000e+02
4.642e+02	8.000e+02
1.000e+03	8.000e+02
1.000e-08	8.500e+02
2.154e-08	8.500e+02
4.642e-08	8.500e+02
1.000e-07	8.500e+02
2.154e-07	8.500e+02
4.642e-07	8.500e+02
1.000e-06	8.500e+02
2.154e-06	8.500e+02
4.642e-06	8.500e+02
1.000e-05	8.500e+02
2.154e-05	8.500e+02
4.642e-05	8.500e+02
1.000e-04	8.500e+02
2.154e-04	8.500e+02
4.642e-04	8.500e+02
1.000e-03	8.500e+02
2.154e-03	8.500e+02
4.642e-03	8.500e+02
1.000e-02	8.500e+02
2.154e-02	8.500e+02
4.642e-02	8.500e+02
1.000e-01	8.500e+02
2.154e-01	8.500e+02
4.642e-01	8.500e+02
1.000e+00	8.500e+02
2.154e+00	8.500e+02
4.642e+00	8.500e+02
1.000e+01	8.500e+02
2.154e+01	8.500e+02
4.642e+01	8.500e+02
1.000e+02	8.500e+02
2.154e+02	8.500e+02
4.642e+02	8.500e+02
1.000e+03	8.500e+02
1.000e-08	9.000e+02
2.154e-08	9.000e+02
4.642e-08	9.000e+02
1.000e-07	9.000e+02
2.154e-07	9.000e+02
4.642e-07	9.000e+02
1.000e-06	9.000e+02
2.154e-06	9.000e+02
4.642e-06	9.000e+02
1.000e-05	9.000e+02
2.154e-05	9.000e+02
4.642e-05	9.000e+02
1.000e-04	9.000e+02
2.154e-04	9.000e+02
4.642e-04	9.000e+02
